Text_ID,Text,Default_Polarity,Aspect,Source,Sarcasm,P1,P2,P3,P4,P5,P6,P7
1,I work 40 hours a week to be this poor,-1,Work,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
2,Nice perfume. Must you marinate in it?,-1,Perfume,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
3,Suburbia: where they tear out the trees and then name streets after them.,-1,Human,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
4,This isnt an office. Its Hell with fluorescent lighting.,-1,Office,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
5,Dont bother me. Im living happily ever after.,-1,My present state,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,1,-1,1,-1,-1
6,Sometimes I need what only you can provide: your absence.,-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
7,"I feel so miserable without you, it's almost like having you here.",-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
8,"I never forget a face, but in your case I'll be glad to make an exception.",-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
9,The trouble with her is that she lacks the power of conversation but not the power of speech.,-1,She,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,1,-1
10,Weather forecast for tonight: dark.,-1,Meterological department,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,1
11,"You see, money's not everything in life is it? But it keeps you in touch with your children.",-1,Money,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,-1,-1,1,-1,-1
12,"I always wanted to be somebody, but now I realize I should have been more specific.",-1,My life,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
13,"Reader, suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.",-1,Congress,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
14,It's a catastrophic success.,-1,Result,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,1,1
15,History teaches us that men and nations behave wisely once they have exhausted all other alternatives.,-1,Men ans nations,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,1
16,Marry me and I'll never look at another horse!,-1,Marriage,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,-1,-1
17,"If you find it hard to laugh at yourself, I would be happy to do it for you.",-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
18,Marriage is the chief cause of divorce.,-1,Marriage,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
19,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.",-1,Television for education,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,1,-1,-1,-1,-1
20,"I was supposed to like the play, but then I saw it under adverse conditions - the curtain was up.",-1,Play,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
21,"Some cause happiness wherever they go, others whenever they go.",-1,Others,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,1
22,"He has no enemies, but is intensely disliked by his friends.",-1,He,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,-1,-1
23,He was happily married - but his wife wasn't.,-1,Marriage,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
24,Honesty is the best policy -- when there is money in it.,-1,Money,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,1,1
